,Suburb_id,Suburb,Postcode,LGA,City,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
0,0,Abbotsbury,2176,City of Fairfield,Sydney,,,,,,,,,,
1,1,Abbotsford,2046,City of Canada Bay,Sydney,Café,Pizza Place,Park,Wine Shop,Gift Shop,,,,,
2,2,Acacia Gardens,2763,City of Blacktown,Sydney,BBQ Joint,Park,,,,,,,,
3,3,Agnes Banks,2753,"City of Hawkesbury, City of Penrith",Sydney,,,,,,,,,,
4,4,Airds,2560,City of Campbelltown ,Sydney,Fish & Chips Shop,,,,,,,,,
5,5,Alexandria,2015,City of Sydney,Sydney,Café,Italian Restaurant,Grocery Store,Basketball Court,Australian Restaurant,Liquor Store,Pizza Place,,,
6,6,Alfords Point,2234,Sutherland Shire,Sydney,Fried Chicken Joint,,,,,,,,,
7,7,Allambie Heights,2100,Northern Beaches Council,Sydney,Bakery,Park,Liquor Store,Café,Grocery Store,,,,,
8,8,Allawah,2218,Georges River Council,Sydney,Music Venue,Park,Pilates Studio,,,,,,,
9,9,Ambarvale,2560,City of Campbelltown ,Sydney,Bus Stop,Supermarket,Gym / Fitness Center,,,,,,,
10,10,Annandale,2038,Inner West Council,Sydney,Café,Grocery Store,Fried Chicken Joint,Playground,Bar,Snack Place,Climbing Gym,Fish & Chips Shop,Liquor Store,Australian Restaurant
11,11,Annangrove,2156,The Hills Shire,Sydney,Indian Restaurant,,,,,,,,,
12,12,Arcadia,2159,Hornsby Shire,Sydney,Food & Drink Shop,,,,,,,,,
13,13,Arncliffe,2205,Bayside Council,Sydney,Lebanese Restaurant,Pharmacy,Train Station,Platform,Grocery Store,Dessert Shop,Thai Restaurant,Gym / Fitness Center,,
14,14,Arndell Park,2148,City of Blacktown,Sydney,Furniture / Home Store,,,,,,,,,
15,15,Artarmon,2064,City of Willoughby,Sydney,Café,Japanese Restaurant,Thai Restaurant,Convenience Store,Sushi Restaurant,BBQ Joint,Pharmacy,Sandwich Place,Asian Restaurant,Bakery
16,16,Ashbury,2193,"Canterbury-Bankstown Council, Inner West Council",Sydney,Playground,Park,Scenic Lookout,,,,,,,
17,17,Ashcroft,2168,City of Liverpool ,Sydney,,,,,,,,,,
18,18,Ashfield,2131,Inner West Council,Sydney,Dumpling Restaurant,Café,Japanese Restaurant,Chinese Restaurant,Malay Restaurant,Electronics Store,Platform,Shanghai Restaurant,Supermarket,Asian Restaurant
19,19,Asquith,2077,Hornsby Shire,Sydney,Train Station,Supermarket,Gas Station,Hobby Shop,Fast Food Restaurant,Sports Club,,,,
20,20,Auburn,2144,"Cumberland Council, New South Wales",Sydney,Supermarket,Turkish Restaurant,Dessert Shop,Asian Restaurant,Lebanese Restaurant,Thai Restaurant,Fast Food Restaurant,Kebab Restaurant,Persian Restaurant,Portuguese Restaurant
21,21,Austral,2179,City of Liverpool ,Sydney,,,,,,,,,,
22,22,Avalon Beach,2107,Northern Beaches Council,Sydney,,,,,,,,,,
23,23,Badgerys Creek,2555,City of Liverpool ,Sydney,,,,,,,,,,
24,24,Balgowlah,2093,Northern Beaches Council,Sydney,Trail,Restaurant,Park,Athletics & Sports,Liquor Store,,,,,
25,25,Balgowlah Heights,2093,Northern Beaches Council,Sydney,Scenic Lookout,Park,Tennis Court,,,,,,,
26,26,Balmain,2041,Inner West Council,Sydney,Café,Pub,Sushi Restaurant,Seafood Restaurant,Pizza Place,Park,Italian Restaurant,Bar,Indian Restaurant,Tapas Restaurant
27,27,Balmain East,2041,Inner West Council,Sydney,Park,Café,Bowling Green,Italian Restaurant,Gastropub,,,,,
28,28,Bangor,2234,Sutherland Shire,Sydney,Shopping Mall,Chinese Restaurant,Pub,Burger Joint,,,,,,
29,29,Banksia,2216,Bayside Council,Sydney,Adult Boutique,Convenience Store,,,,,,,,
30,30,Banksmeadow,2019,Bayside Council,Sydney,Café,Bakery,Park,Golf Course,Sandwich Place,,,,,
31,31,Bankstown,2200,Canterbury-Bankstown Council,Sydney,Vietnamese Restaurant,Café,Middle Eastern Restaurant,Chinese Restaurant,Convenience Store,Steakhouse,Fast Food Restaurant,Sports Bar,Department Store,Japanese Restaurant
32,32,Barangaroo,2000,City of Sydney,Sydney,Café,Bar,Italian Restaurant,Hotel,Seafood Restaurant,Bakery,Pub,Restaurant,Sandwich Place,Steakhouse
33,33,Barden Ridge,2234,Sutherland Shire,Sydney,Park,Other Great Outdoors,Astrologer,,,,,,,
34,34,Bardia,2565,"City of Liverpool , City of Campbelltown ",Sydney,Park,,,,,,,,,
35,35,Bardwell Park,2207,Bayside Council,Sydney,Train Station,Bar,Gym,Café,Golf Course,,,,,
36,36,Bardwell Valley,2207,Bayside Council,Sydney,Park,Playground,,,,,,,,
37,37,Bass Hill,2197,Canterbury-Bankstown Council,Sydney,Fast Food Restaurant,Gym,Shopping Mall,Discount Store,Grocery Store,Café,Pizza Place,Big Box Store,Supermarket,Ice Cream Shop
38,38,Baulkham Hills,2153,"City of Parramatta Council, The Hills Shire",Sydney,Café,Pizza Place,Supermarket,Chinese Restaurant,Pharmacy,Fast Food Restaurant,Burger Joint,Sports Club,Food Court,Dessert Shop
39,39,Bayview,2104,Northern Beaches Council,Sydney,Gym / Fitness Center,,,,,,,,,
40,40,Beacon Hill,2100,Northern Beaches Council,Sydney,Fast Food Restaurant,Gym / Fitness Center,Thai Restaurant,,,,,,,
41,41,Beaconsfield,2015,City of Sydney,Sydney,Café,Furniture / Home Store,Flea Market,Bakery,Fried Chicken Joint,Pet Store,Electronics Store,Sandwich Place,Pizza Place,Thai Restaurant
42,42,Beaumont Hills,2155,The Hills Shire,Sydney,Shopping Mall,Park,Pizza Place,Grocery Store,,,,,,
43,43,Beecroft,2119,"City of Parramatta, Hornsby Shire",Sydney,Café,Shopping Mall,Bakery,Convenience Store,Liquor Store,Fast Food Restaurant,Park,Chinese Restaurant,Supermarket,Pizza Place
