,Suburb_id,Suburb,Postcode,LGA,City,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
0,0,Abbotsbury,2176,City of Fairfield,Sydney,,,,,,,,,,
1,1,Abbotsford,2046,City of Canada Bay,Sydney,Café,Pizza Place,Gift Shop,Park,Wine Shop,Construction & Landscaping,,,,
2,2,Acacia Gardens,2763,City of Blacktown,Sydney,Bus Station,BBQ Joint,Park,,,,,,,
3,3,Agnes Banks,2753,"City of Hawkesbury, City of Penrith",Sydney,,,,,,,,,,
4,4,Airds,2560,City of Campbelltown ,Sydney,,,,,,,,,,
5,5,Alexandria,2015,City of Sydney,Sydney,Café,Italian Restaurant,Basketball Court,Grocery Store,Australian Restaurant,,,,,
6,6,Alfords Point,2234,Sutherland Shire,Sydney,Fried Chicken Joint,,,,,,,,,
7,7,Allambie Heights,2100,Northern Beaches Council,Sydney,Café,Park,Liquor Store,Grocery Store,Bakery,,,,,
8,8,Allawah,2218,Georges River Council,Sydney,Park,,,,,,,,,
9,9,Ambarvale,2560,City of Campbelltown ,Sydney,Supermarket,Gym / Fitness Center,Bus Stop,,,,,,,
10,10,Annandale,2038,Inner West Council,Sydney,Café,Grocery Store,Brewery,Playground,Bar,Snack Place,Liquor Store,Climbing Gym,Fish & Chips Shop,Australian Restaurant
11,11,Annangrove,2156,The Hills Shire,Sydney,Indian Restaurant,,,,,,,,,
12,12,Arcadia,2159,Hornsby Shire,Sydney,Food & Drink Shop,,,,,,,,,
13,13,Arncliffe,2205,Bayside Council,Sydney,Pharmacy,Bistro,Grocery Store,Lebanese Restaurant,,,,,,
14,14,Arndell Park,2148,City of Blacktown,Sydney,Construction & Landscaping,,,,,,,,,
15,15,Artarmon,2064,City of Willoughby,Sydney,Café,Park,Thai Restaurant,Japanese Restaurant,Convenience Store,Asian Restaurant,Plaza,BBQ Joint,Sandwich Place,Sushi Restaurant
16,16,Ashbury,2193,"Canterbury-Bankstown Council, Inner West Council",Sydney,Playground,Park,Seafood Restaurant,,,,,,,
17,17,Ashcroft,2168,City of Liverpool ,Sydney,,,,,,,,,,
18,18,Ashfield,2131,Inner West Council,Sydney,Dumpling Restaurant,Café,Japanese Restaurant,Electronics Store,Chinese Restaurant,Shanghai Restaurant,Supermarket,Platform,Thai Restaurant,Falafel Restaurant
19,19,Asquith,2077,Hornsby Shire,Sydney,Supermarket,Gas Station,Fast Food Restaurant,Hobby Shop,Sports Club,Train Station,,,,
20,20,Auburn,2144,"Cumberland Council, New South Wales",Sydney,Supermarket,Turkish Restaurant,Thai Restaurant,Gym,Persian Restaurant,Kebab Restaurant,Fast Food Restaurant,Lebanese Restaurant,Portuguese Restaurant,Dessert Shop
21,21,Austral,2179,City of Liverpool ,Sydney,,,,,,,,,,
22,22,Avalon Beach,2107,Northern Beaches Council,Sydney,Hotel,,,,,,,,,
23,23,Badgerys Creek,2555,City of Liverpool ,Sydney,,,,,,,,,,
24,24,Balgowlah,2093,Northern Beaches Council,Sydney,Golf Course,Trail,Park,Liquor Store,Restaurant,Athletics & Sports,Bus Station,,,
25,25,Balgowlah Heights,2093,Northern Beaches Council,Sydney,Scenic Lookout,Park,Tennis Court,,,,,,,
26,26,Balmain,2041,Inner West Council,Sydney,Café,Pub,Sushi Restaurant,Italian Restaurant,Pizza Place,Bar,Indian Restaurant,Park,Dessert Shop,Tapas Restaurant
27,27,Balmain East,2041,Inner West Council,Sydney,Park,Café,Bowling Green,Italian Restaurant,Gastropub,,,,,
28,28,Bangor,2234,Sutherland Shire,Sydney,Shopping Mall,Home Service,Pub,Liquor Store,Burger Joint,,,,,
29,29,Banksia,2216,Bayside Council,Sydney,Convenience Store,,,,,,,,,
30,30,Banksmeadow,2019,Bayside Council,Sydney,Café,Park,Golf Course,Sandwich Place,Bakery,,,,,
31,31,Bankstown,2200,Canterbury-Bankstown Council,Sydney,Vietnamese Restaurant,Café,Convenience Store,Fast Food Restaurant,Sports Bar,Department Store,Steakhouse,Lebanese Restaurant,Gym,Grocery Store
32,32,Barangaroo,2000,City of Sydney,Sydney,Café,Bar,Italian Restaurant,Restaurant,Hotel,Seafood Restaurant,Indian Restaurant,Pub,Bakery,Ice Cream Shop
33,33,Barden Ridge,2234,Sutherland Shire,Sydney,Park,Italian Restaurant,Astrologer,Other Great Outdoors,,,,,,
34,34,Bardia,2565,"City of Liverpool , City of Campbelltown ",Sydney,Construction & Landscaping,,,,,,,,,
35,35,Bardwell Park,2207,Bayside Council,Sydney,Train Station,Bar,Gym,Café,Golf Course,,,,,
36,36,Bardwell Valley,2207,Bayside Council,Sydney,Park,Miscellaneous Shop,Playground,,,,,,,
37,37,Bass Hill,2197,Canterbury-Bankstown Council,Sydney,Fast Food Restaurant,Gym,Shopping Mall,Grocery Store,Discount Store,Big Box Store,Pizza Place,,,
38,38,Baulkham Hills,2153,"City of Parramatta Council, The Hills Shire",Sydney,Café,Supermarket,Pizza Place,Thai Restaurant,Burger Joint,Shopping Mall,Halal Restaurant,Liquor Store,Fast Food Restaurant,Pharmacy
39,39,Bayview,2104,Northern Beaches Council,Sydney,Gym / Fitness Center,,,,,,,,,
40,40,Beacon Hill,2100,Northern Beaches Council,Sydney,Fast Food Restaurant,Souvenir Shop,,,,,,,,
41,41,Beaconsfield,2015,City of Sydney,Sydney,Café,Furniture / Home Store,Clothing Store,Liquor Store,Thai Restaurant,Miscellaneous Shop,Basketball Court,Pizza Place,Electronics Store,Flea Market
42,42,Beaumont Hills,2155,The Hills Shire,Sydney,Shopping Mall,Park,Grocery Store,Pizza Place,,,,,,
43,43,Beecroft,2119,"City of Parramatta, Hornsby Shire",Sydney,Café,Shopping Mall,Italian Restaurant,Pizza Place,Liquor Store,Park,Chinese Restaurant,Supermarket,Bakery,
44,44,Belfield,2191,"Canterbury-Bankstown Council, Municipality of Strathfield",Sydney,Café,Pizza Place,Furniture / Home Store,BBQ Joint,Farmers Market,Gas Station,,,,
45,45,Bella Vista,2153,The Hills Shire,Sydney,Nightclub,Fast Food Restaurant,Food Truck,Café,Thai Restaurant,,,,,
46,46,Bellevue Hill,2023,Municipality of Woollahra,Sydney,Flea Market,BBQ Joint,Park,Pizza Place,,,,,,
47,47,Belmore,2192,Canterbury-Bankstown Council,Sydney,Café,Lebanese Restaurant,Deli / Bodega,Chinese Restaurant,Japanese Restaurant,Gym / Fitness Center,Football Stadium,Greek Restaurant,Food & Drink Shop,
48,48,Belrose,2085,Northern Beaches Council,Sydney,Chinese Restaurant,Pub,Soccer Field,Grocery Store,Café,,,,,
49,49,Berala,2141,"Cumberland Council, New South Wales",Sydney,Bakery,Asian Restaurant,Thai Restaurant,Middle Eastern Restaurant,Café,Train Station,Supermarket,Pub,Cosmetics Shop,
50,50,Berkshire Park,2765,City of Penrith,Sydney,,,,,,,,,,
51,51,Berowra,2081,Hornsby Shire,Sydney,Convenience Store,Spa,,,,,,,,
52,52,Berowra Creek,2082,Hornsby Shire,Sydney,,,,,,,,,,
53,53,Berowra Heights,2082,Hornsby Shire,Sydney,Café,Supermarket,Burger Joint,Grocery Store,Pizza Place,Thai Restaurant,Shopping Mall,Pub,,
54,54,Berowra Waters,2082,Hornsby Shire,Sydney,Seafood Restaurant,Boat or Ferry,Harbor / Marina,,,,,,,
55,55,Berrilee,2159,Hornsby Shire,Sydney,Stables,,,,,,,,,
56,56,Beverley Park,2217,Georges River Council,Sydney,Park,Golf Course,Pizza Place,Sporting Goods Shop,Sports Bar,Restaurant,Dim Sum Restaurant,,,
57,57,Beverly Hills,2209,"Georges River Council, Canterbury-Bankstown Council",Sydney,Chinese Restaurant,Café,Japanese Restaurant,Movie Theater,Grocery Store,Greek Restaurant,German Restaurant,Thai Restaurant,Middle Eastern Restaurant,Souvlaki Shop
58,58,Bexley,2207,Bayside Council,Sydney,Fruit & Vegetable Store,Park,Pub,Convenience Store,,,,,,
59,59,Bexley North,2207,Bayside Council,Sydney,Café,Thai Restaurant,Japanese Restaurant,Grocery Store,,,,,,
60,60,Bidwill,2770,City of Blacktown,Sydney,Spa,Bar,High School,Convenience Store,,,,,,
61,61,Bilgola Beach,2107,Northern Beaches Council,Sydney,Café,Beach,Pool,,,,,,,
62,62,Bilgola Plateau,2107,Northern Beaches Council,Sydney,Park,Café,Convenience Store,Pizza Place,,,,,,
63,63,Birchgrove,2041,Inner West Council,Sydney,Café,Pub,Sushi Restaurant,Cricket Ground,Pizza Place,Tapas Restaurant,Tennis Court,Middle Eastern Restaurant,Bar,Seafood Restaurant
64,64,Birrong,2143,Canterbury-Bankstown Council,Sydney,Train Station,Women's Store,Chinese Restaurant,Concert Hall,Grocery Store,,,,,
65,65,Blackett,2770,City of Blacktown,Sydney,Market,Gym Pool,Soccer Field,Fast Food Restaurant,,,,,,
66,66,Blacktown,2148,City of Blacktown,Sydney,Fast Food Restaurant,Supermarket,Café,Juice Bar,Sandwich Place,Asian Restaurant,Burger Joint,Thai Restaurant,Mexican Restaurant,Big Box Store
67,67,Blair Athol,2560,City of Campbelltown ,Sydney,Playground,,,,,,,,,
68,68,Blairmount,2559,City of Campbelltown ,Sydney,,,,,,,,,,
69,69,Blakehurst,2221,Georges River Council,Sydney,Park,Dim Sum Restaurant,Sporting Goods Shop,,,,,,,
70,70,Bligh Park,2756,City of Hawkesbury,Sydney,Martial Arts Dojo,Fishing Store,,,,,,,,
71,71,Bondi,2026,Waverley Council,Sydney,Café,Pizza Place,Park,Grocery Store,Thai Restaurant,Asian Restaurant,Australian Restaurant,Bus Stop,Gas Station,Japanese Restaurant
72,72,Bondi Beach,2026,Waverley Council,Sydney,Café,Australian Restaurant,Bakery,Beach,Restaurant,Resort,Ice Cream Shop,Pizza Place,Italian Restaurant,Clothing Store
73,73,Bondi Junction,2022,Waverley Council,Sydney,Café,Gym,Japanese Restaurant,Vegetarian / Vegan Restaurant,Pizza Place,Sushi Restaurant,Clothing Store,Noodle House,Electronics Store,Burger Joint
74,74,Bonnet Bay,2226,Sutherland Shire,Sydney,Deli / Bodega,Gym,Bus Stop,,,,,,,
75,75,Bonnyrigg,2177,City of Fairfield,Sydney,Park,Fast Food Restaurant,Pizza Place,Burger Joint,,,,,,
76,76,Bonnyrigg Heights,2177,City of Fairfield,Sydney,Soccer Field,Sports Bar,,,,,,,,
77,77,Bossley Park,2176,City of Fairfield,Sydney,Bar,Italian Restaurant,Park,Gym,Buffet,Pizza Place,,,,
78,78,Botany,2019,Bayside Council,Sydney,Pub,Café,Bakery,Pizza Place,Gym,Grocery Store,Chinese Restaurant,Pharmacy,Thai Restaurant,Fried Chicken Joint
79,79,Bow Bowing,2566,City of Campbelltown ,Sydney,Tennis Court,,,,,,,,,
80,80,Box Hill,2765,The Hills Shire,Sydney,,,,,,,,,,
81,81,Bradbury,2560,City of Campbelltown ,Sydney,Shopping Mall,Supermarket,Furniture / Home Store,Chinese Restaurant,,,,,,
82,82,Breakfast Point,2137,City of Canada Bay,Sydney,Park,Café,Gym / Fitness Center,Boat or Ferry,Grocery Store,Pier,,,,
83,83,Bringelly,2556,"Camden Council , City of Liverpool ",Sydney,Fast Food Restaurant,Convenience Store,,,,,,,,
84,84,Bronte,2024,Waverley Municipal Council,Sydney,Bakery,Restaurant,Belgian Restaurant,Australian Restaurant,Juice Bar,Breakfast Spot,Indian Restaurant,,,
85,85,Brooklyn,2083,Hornsby Shire,Sydney,Park,,,,,,,,,
86,86,Brookvale,2100,Northern Beaches Council,Sydney,Bakery,Café,Department Store,Pizza Place,Brewery,Thrift / Vintage Store,Gym,Shopping Mall,Supermarket,Italian Restaurant
87,87,Bundeena,2230,Sutherland Shire,Sydney,Café,Beach,Grocery Store,Pub,Pier,,,,,
88,88,Burraneer,2230,Sutherland Shire,Sydney,Beach,,,,,,,,,
89,89,Burwood,2134,Burwood Council,Sydney,Chinese Restaurant,Other Nightlife,Supermarket,Cantonese Restaurant,Fast Food Restaurant,Café,Sandwich Place,Asian Restaurant,Hookah Bar,Gym
90,90,Burwood Heights,2136,Burwood Council,Sydney,Burger Joint,Park,Pub,Convenience Store,Tennis Court,,,,,
